class_id,rxcui,generic_name,rela,condition_name
D009203,704,amitriptyline,ci_with,Myocardial Infarction
D003866,704,amitriptyline,may_treat,Depressive Disorder
D010146,704,amitriptyline,may_treat,Pain
D000402,719,amobarbital,ci_with,Airway Obstruction
D004342,719,amobarbital,ci_with,Drug Hypersensitivity
D004417,719,amobarbital,ci_with,Dyspnea
D008107,719,amobarbital,ci_with,Liver Diseases
D017093,719,amobarbital,ci_with,Liver Failure
D011164,719,amobarbital,ci_with,Porphyrias
D001008,719,amobarbital,may_treat,Anxiety Disorders
D012640,719,amobarbital,may_treat,Seizures
D007319,719,amobarbital,may_treat,Sleep Initiation and Maintenance Disorders
D013226,719,amobarbital,may_treat,Status Epilepticus
D004342,722,amoxapine,ci_with,Drug Hypersensitivity
D009203,722,amoxapine,ci_with,Myocardial Infarction
D003866,722,amoxapine,may_treat,Depressive Disorder
D011602,722,amoxapine,may_treat,Psychophysiologic Disorders
D001161,725,amphetamine,ci_with,Arteriosclerosis
D004342,725,amphetamine,ci_with,Drug Hypersensitivity
D005901,725,amphetamine,ci_with,Glaucoma
D006973,725,amphetamine,ci_with,Hypertension
D006980,725,amphetamine,ci_with,Hyperthyroidism
D015819,725,amphetamine,ci_with,"Substance Abuse, Intravenous"
D019966,725,amphetamine,ci_with,Substance-Related Disorders
D001289,725,amphetamine,may_treat,Attention Deficit Disorder with Hyperactivity
D009290,725,amphetamine,may_treat,Narcolepsy
D000033,17941,anisindione,ci_with,"Abortion, Threatened"
D000437,17941,anisindione,ci_with,Alcoholism
D000783,17941,anisindione,ci_with,Aneurysm
D001206,17941,anisindione,ci_with,Ascorbic Acid Deficiency
D002277,17941,anisindione,ci_with,Carcinoma
D002543,17941,anisindione,ci_with,Cerebral Hemorrhage
D004238,17941,anisindione,ci_with,Diverticulitis
D004342,17941,anisindione,ci_with,Drug Hypersensitivity
D004461,17941,anisindione,ci_with,Eclampsia
D004614,17941,anisindione,ci_with,Emaciation
D004697,17941,anisindione,ci_with,"Endocarditis, Bacterial"
D006471,17941,anisindione,ci_with,Gastrointestinal Hemorrhage
D006467,17941,anisindione,ci_with,Hemophilia A
D002836,17941,anisindione,ci_with,Hemophilia B
D006974,17941,anisindione,ci_with,"Hypertension, Malignant"
D007938,17941,anisindione,ci_with,Leukemia
D008107,17941,anisindione,ci_with,Liver Diseases
D010490,17941,anisindione,ci_with,Pericardial Effusion
D010493,17941,anisindione,ci_with,Pericarditis
D019106,17941,anisindione,ci_with,Postoperative Hemorrhage
D011225,17941,anisindione,ci_with,Pre-Eclampsia
D011247,17941,anisindione,ci_with,Pregnancy
D011469,17941,anisindione,ci_with,Prostatic Diseases
D011502,17941,anisindione,ci_with,Protein-Energy Malnutrition
D011696,17941,anisindione,ci_with,"Purpura, Thrombocytopenic"
D014813,17941,anisindione,ci_with,Vitamin K Deficiency
D011655,17941,anisindione,may_prevent,Pulmonary Embolism
D013923,17941,anisindione,may_prevent,Thromboembolism
D020246,17941,anisindione,may_prevent,Venous Thrombosis
D001281,17941,anisindione,may_treat,Atrial Fibrillation
D054059,17941,anisindione,may_treat,Coronary Occlusion
D004617,17941,anisindione,may_treat,Embolism
D009203,17941,anisindione,may_treat,Myocardial Infarction
D011655,17941,anisindione,may_treat,Pulmonary Embolism
D013923,17941,anisindione,may_treat,Thromboembolism
D020246,17941,anisindione,may_treat,Venous Thrombosis
D001996,17381,aprobarbital,ci_with,Bronchopneumonia
D004342,17381,aprobarbital,ci_with,Drug Hypersensitivity
D011164,17381,aprobarbital,ci_with,Porphyrias
