icd11_code,icd11_title,icd11_uri,browser_link,pool_tier
MG50.25,Polymyxin resistant Escherichia coli,http://id.who.int/icd/entity/410435592,https://icd.who.int/browse/2025-01/mms/en#410435592,B
MG50.26,Penicillin resistant Escherichia coli,http://id.who.int/icd/entity/1483134068,https://icd.who.int/browse/2025-01/mms/en#1483134068,B
MG50.27,Extended spectrum beta-lactamase producing Escherichia coli,http://id.who.int/icd/entity/976332273,https://icd.who.int/browse/2025-01/mms/en#976332273,B
MG50.2Y,Escherichia coli resistant to other antibiotic,,,B
MG50.2Z,Escherichia coli resistant to unspecified antibiotic,,,B
MG50.30,Ampicillin resistant Haemophilus influenzae,http://id.who.int/icd/entity/1773711561,https://icd.who.int/browse/2025-01/mms/en#1773711561,B
MG50.40,Clarithromycin resistant Helicobacter pylori,http://id.who.int/icd/entity/2003524291,https://icd.who.int/browse/2025-01/mms/en#2003524291,B
MG50.50,Sulfonamide or trimethoprim resistant Klebsiella pneumoniae,http://id.who.int/icd/entity/231529131,https://icd.who.int/browse/2025-01/mms/en#231529131,B
MG50.51,Fluoroquinolone resistant Klebsiella pneumoniae,http://id.who.int/icd/entity/1478794390,https://icd.who.int/browse/2025-01/mms/en#1478794390,B
MG50.52,Third-generation cephalosporin resistant Klebsiella pneumoniae,http://id.who.int/icd/entity/939163862,https://icd.who.int/browse/2025-01/mms/en#939163862,B
MG50.53,Fourth-generation cephalosporin resistant Klebsiella pneumoniae,http://id.who.int/icd/entity/1054989766,https://icd.who.int/browse/2025-01/mms/en#1054989766,B
MG50.54,Carbapenem resistant Klebsiella pneumoniae,http://id.who.int/icd/entity/1210342233,https://icd.who.int/browse/2025-01/mms/en#1210342233,B
MG50.55,Polymyxin resistant Klebsiella pneumoniae,http://id.who.int/icd/entity/376419258,https://icd.who.int/browse/2025-01/mms/en#376419258,B
MG50.56,Extended-spectrum beta-lactamase producing Klebsiella pneumoniae,http://id.who.int/icd/entity/1681393140,https://icd.who.int/browse/2025-01/mms/en#1681393140,B
MG50.5Y,Klebsiella pneumoniae resistant to other antibiotic,,,B
MG50.5Z,Klebsiella pneumoniae resistant to unspecified antibiotic,,,B
MG50.60,Third generation cephalosporin resistant Neisseria gonorrhoeae,http://id.who.int/icd/entity/2135031716,https://icd.who.int/browse/2025-01/mms/en#2135031716,B
MG50.61,Macrolide resistant Neisseria gonorrhoeae,http://id.who.int/icd/entity/1146062162,https://icd.who.int/browse/2025-01/mms/en#1146062162,B
MG50.62,Aminocyclitol resistant Neisseria gonorrhoeae,http://id.who.int/icd/entity/1924181975,https://icd.who.int/browse/2025-01/mms/en#1924181975,B
MG50.63,Fluoroquinolone resistant Neisseria gonorrhoeae,http://id.who.int/icd/entity/754665268,https://icd.who.int/browse/2025-01/mms/en#754665268,B
MG50.64,Aminoglycoside resistant Neisseria gonorrhoeae,http://id.who.int/icd/entity/303916412,https://icd.who.int/browse/2025-01/mms/en#303916412,B
MG50.6Y,Neisseria gonorrhoeae resistant to other antibiotic,,,B
MG50.6Z,Neisseria gonorrhoeae resistant to unspecified antibiotic,,,B
MG50.70,Penicillin resistant Neisseria meningitidis,http://id.who.int/icd/entity/1071495840,https://icd.who.int/browse/2025-01/mms/en#1071495840,B
MG50.80,Carbapenem-resistant Pseudomonas aeruginosa,http://id.who.int/icd/entity/2104583029,https://icd.who.int/browse/2025-01/mms/en#2104583029,B
MG50.81,Polymyxin-resistant Pseudomonas aeruginosa,http://id.who.int/icd/entity/591039384,https://icd.who.int/browse/2025-01/mms/en#591039384,B
MG50.8Y,Pseudomonas aeruginosa resistant to other antibiotic,,,B
MG50.8Z,Pseudomonas aeruginosa resistant to unspecified antibiotic,,,B
MG50.90,Fluoroquinolone resistant Salmonella,http://id.who.int/icd/entity/1891254232,https://icd.who.int/browse/2025-01/mms/en#1891254232,B
MG50.91,Third generation cephalosporin resistant Salmonella,http://id.who.int/icd/entity/1586922538,https://icd.who.int/browse/2025-01/mms/en#1586922538,B
MG50.92,Carbapenem resistant Salmonella,http://id.who.int/icd/entity/292396308,https://icd.who.int/browse/2025-01/mms/en#292396308,B
MG50.9Y,Salmonella resistant to other antibiotic,,,B
MG50.9Z,Salmonella resistant to unspecified antibiotic,,,B
MG50.A0,Carbapenem resistant Shigella,http://id.who.int/icd/entity/149575780,https://icd.who.int/browse/2025-01/mms/en#149575780,B
MG50.A1,Fluoroquinolone resistant Shigella,http://id.who.int/icd/entity/1067169197,https://icd.who.int/browse/2025-01/mms/en#1067169197,B
MG50.A2,Third-generation cephalosporins resistant Shigella,http://id.who.int/icd/entity/657712104,https://icd.who.int/browse/2025-01/mms/en#657712104,B
MG50.A3,Macrolides resistant Shigella,http://id.who.int/icd/entity/50249252,https://icd.who.int/browse/2025-01/mms/en#50249252,B
MG50.AY,Shigella resistant to other antibiotic,,,B
MG50.AZ,Shigella resistant to unspecified antibiotic,,,B
MG50.B0,Fluoroquinolone resistant Vibrio,http://id.who.int/icd/entity/1078292002,https://icd.who.int/browse/2025-01/mms/en#1078292002,B
MG50.BY,Vibrio resistant to other antibiotic,,,B
MG50.BZ,Vibrio resistant to unspecified antibiotic,,,B
MG50.C0,Other carbapenem resistant Enterobacterales,http://id.who.int/icd/entity/116308496,https://icd.who.int/browse/2025-01/mms/en#116308496,B
MG50.C1,Other third-generation cephalosporin resistant Enterobacterales,http://id.who.int/icd/entity/135241972,https://icd.who.int/browse/2025-01/mms/en#135241972,B
MG51.00,Methicillin resistant Staphylococcus aureus,http://id.who.int/icd/entity/1710270895,https://icd.who.int/browse/2025-01/mms/en#1710270895,B
MG51.01,Vancomycin resistant Staphylococcus aureus,http://id.who.int/icd/entity/1225527575,https://icd.who.int/browse/2025-01/mms/en#1225527575,B
MG51.02,Penicillinase-stable beta lactams resistant Staphylococcus aureus,http://id.who.int/icd/entity/1557041653,https://icd.who.int/browse/2025-01/mms/en#1557041653,B
MG51.10,Penicillin resistant Streptococcus pneumoniae,http://id.who.int/icd/entity/614467355,https://icd.who.int/browse/2025-01/mms/en#614467355,B
MG51.11,Sulfonamide and trimethoprim resistant Streptococcus pneumoniae,http://id.who.int/icd/entity/2121916205,https://icd.who.int/browse/2025-01/mms/en#2121916205,B
MG51.12,Third-generation cephalosporins resistant Streptococcus pneumoniae,http://id.who.int/icd/entity/882950360,https://icd.who.int/browse/2025-01/mms/en#882950360,B
MG51.1Y,Streptococcus pneumoniae resistant to other antibiotic,,,B
MG51.1Z,Streptococcus pneumoniae resistant to unspecified antibiotic,,,B
MG51.20,Vancomycin resistant Enterococcus,http://id.who.int/icd/entity/2002944575,https://icd.who.int/browse/2025-01/mms/en#2002944575,B
MG51.2Y,Enterococcus resistant to other antibiotic,,,B
MG51.2Z,Enteroccus resistant to unspecified antibiotic,,,B
