disorder_icd11_code,disorder_title,symptom_icd11_code,matched_form,section,cddr_page
6E6Z,"Secondary mental or behavioural syndrome, unspecified          674",MB23.8,disruptive behavior,(unsectioned),-4
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB23.9,echolalia,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB23.C,increased sociability,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB23.D,mutism,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB23.E,non-suicidal self-injury,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB23.F,odd or peculiar appearance,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB23.G,odd or peculiar behavior,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified          674",MB23.H,panic attack,(unsectioned),-4
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB23.J,poor personal hygiene,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB23.K,poverty of speech,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB23.L,pressured speech,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB23.M,psychomotor agitation,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB23.N,psychomotor retardation,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB23.Q,social withdrawal,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB23.R,suicide attempt,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB23.S,suicidal behavior,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB24.0,ambivalence,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB24.1,anger,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB24.2,anhedonia,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified          674",MB24.3,anxiety,(unsectioned),-4
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB24.4,apathy,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB24.5,depressed mood,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB24.60,constricted affect,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB24.61,blunted affect,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB24.62,flat affect,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB24.63,labile affect,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB24.64,inappropriate affect,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB24.7,dysphoria,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB24.8,elevated mood,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB24.9,euphoria,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified          674",MB24.A,fear,(unsectioned),-4
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB24.B,feelings of guilt,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified          674",MB24.C,irritability,(unsectioned),-4
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB24.D,leaden paralysis,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB24.E,mental rumination,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB24.F,restlessness,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB24.G,tantrum,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB24.H,worry,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB25.00,circumstantiality,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB25.01,tangentiality,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB25.02,disorganized thinking,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB25.03,incoherence,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB25.1,flight of ideas,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB25.2,neologisms,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB25.3,thought blocking,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB26.00,bizarre delusion,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB26.01,delusion of being controlled,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB26.02,delusion of guilt,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB26.03,delusion of reference,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB26.04,erotomanic delusion,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified          674",MB26.05,grandiose delusion,(unsectioned),-4
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB26.06,jealous delusion,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified          674",MB26.07,persecutory delusion,(unsectioned),-4
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB26.08,religious delusion,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified          674",MB26.09,somatic delusion,(unsectioned),-4
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB26.0A,nihilistic delusion,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB26.0B,misidentification delusion,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB26.0C,delusion of impoverishment,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB26.10,thought broadcasting,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB26.11,thought insertion,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB26.12,thought withdrawal,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB26.2,grandiosity,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB26.3,homicidal ideation,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB26.4,identity disturbance,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB26.5,obsessions,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB26.6,overvalued ideas,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB26.7,paranoid ideation,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB26.8,referential thinking,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB26.9,suspiciousness,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB26.A,suicidal ideation,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB27.0,depersonalization,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB27.1,derealization,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB27.20,auditory hallucinations,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB27.21,gustatory hallucinations,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB27.22,hypnopompic hallucinations,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB27.23,hypnagogic hallucinations,(unsectioned),674
