rxcui,generic_name,has_label,product_type,rela,condition_name,indications_and_usage,faers_side_effects
29648,methdilazine,False,Discontinued/Withdrawn,may_treat,"Dermatitis, Allergic Contact; Dermatitis, Atopic; Eczema; Pityriasis Rosea; Pruritus; Rhinitis, Allergic, Perennial; Urticaria",,
6852,methotrimeprazine,False,Discontinued/Withdrawn,ci_with,Coma; Coronary Disease; Drug Hypersensitivity; Liver Diseases; Seizures,,
6852,methotrimeprazine,False,Discontinued/Withdrawn,may_treat,Anxiety Disorders; Bipolar Disorder; Pain; Psychotic Disorders; Schizophrenia,,
6910,methyprylon,False,Discontinued/Withdrawn,ci_with,Drug Hypersensitivity,,
6910,methyprylon,False,Discontinued/Withdrawn,may_treat,Sleep Initiation and Maintenance Disorders,,
7440,nitrazepam,False,Non-US,may_treat,Seizures; Sleep Initiation and Maintenance Disorders,,
3155,nordazepam,False,Non-US,may_treat,Anxiety Disorders,,
7909,paraldehyde,False,Obsolete,ci_with,Airway Obstruction; Drug Hypersensitivity; Gastroenteritis; Liver Failure,,
7909,paraldehyde,False,Obsolete,may_treat,Delirium; Seizures,,
7966,pemoline,False,Discontinued/Withdrawn,ci_with,Child; Hypersensitivity; Liver Diseases; Psychotic Disorders; Tourette Syndrome,,
7966,pemoline,False,Discontinued/Withdrawn,may_treat,Attention Deficit Disorder with Hyperactivity; Narcolepsy,,
7974,penfluridol,False,Non-US,may_treat,Psychotic Disorders; Schizophrenia Spectrum and Other Psychotic Disorders,,
8042,perazine,False,Non-US,may_treat,Psychotic Disorders; Schizophrenia,,
8047,pergolide,False,Discontinued/Withdrawn,ci_with,Drug Hypersensitivity,,
8047,pergolide,False,Discontinued/Withdrawn,may_treat,Parkinson Disease; Tourette Syndrome,,
8766,periciazine,False,Non-US,ci_with,Drug Hypersensitivity,,
8766,periciazine,False,Non-US,may_treat,Aggression; Psychotic Disorders,,
8133,phenmetrazine,False,Discontinued/Withdrawn,ci_with,"Arteriosclerosis; Drug Hypersensitivity; Glaucoma; Hypertension; Hyperthyroidism; Pregnancy; Substance Abuse, Intravenous",,
8133,phenmetrazine,False,Discontinued/Withdrawn,may_treat,Obesity,,
8150,phenprocoumon,False,Non-US,ci_with,"Abortion, Threatened; Alcoholism; Aneurysm; Ascorbic Acid Deficiency; Carcinoma; Cerebral Hemorrhage; Diverticulitis; Drug Hypersensitivity; Eclampsia; Emaciation; Endocarditis, Bacterial; Gastrointestinal Hemorrhage; Hemophilia A; Hemophilia B; Hypertension, Malignant; Leukemia; Liver Diseases; Pericardial Effusion; Pericarditis; Postoperative Hemorrhage; Pre-Eclampsia; Pregnancy; Prostatic Diseases; Protein-Energy Malnutrition; Purpura, Thrombocytopenic; Vitamin K Deficiency",,
8150,phenprocoumon,False,Non-US,may_prevent,Pulmonary Embolism; Thromboembolism; Venous Thrombosis,,
8150,phenprocoumon,False,Non-US,may_treat,Pulmonary Embolism; Thromboembolism; Venous Thrombosis,,
33739,pipamperone,False,Non-US,may_treat,Schizophrenia,,
8338,piperacetazine,False,Discontinued/Withdrawn,may_treat,Schizophrenia,,
8348,pipothiazine,False,Non-US,may_treat,Schizophrenia,,
8627,prazepam,False,Discontinued/Withdrawn,ci_with,"Drug Hypersensitivity; Glaucoma, Angle-Closure; Pregnancy",,
8627,prazepam,False,Discontinued/Withdrawn,may_treat,"Alcohol Withdrawal Delirium; Anxiety Disorders; Duodenal Ulcer; Epilepsies, Partial; Muscle Spasticity",,
8742,promazine,False,Discontinued/Withdrawn,ci_with,Bone Marrow Diseases; Coma; Drug Hypersensitivity,,
8742,promazine,False,Discontinued/Withdrawn,may_treat,Nausea; Psychotic Disorders; Schizophrenia; Vomiting,,
8770,propiomazine,False,Discontinued/Withdrawn,ci_with,Bone Marrow Diseases; Drug Hypersensitivity; Pheochromocytoma; Seizures,,
8770,propiomazine,False,Discontinued/Withdrawn,may_treat,Anxiety Disorders; Sleep Initiation and Maintenance Disorders,,
8825,protamine sulfate (USP),False,Combination ingredient,ci_with,Drug Hypersensitivity,,
8825,protamine sulfate (USP),False,Combination ingredient,may_treat,Drug Overdose; Hemorrhage; Postoperative Complications,,
8826,protamines,False,Combination ingredient,ci_with,Drug Hypersensitivity,,
8826,protamines,False,Combination ingredient,may_treat,Drug Overdose,,
9100,racemethionine,False,Obsolete,ci_with,Drug Hypersensitivity,,
9100,racemethionine,False,Obsolete,may_treat,Diaper Rash; Drug Overdose; Drug-Related Side Effects and Adverse Reactions,,
60842,reboxetine,False,Non-US,may_treat,Attention Deficit Disorder with Hyperactivity; Depression; Panic Disorder,,
9260,reserpine,False,Discontinued/Withdrawn,ci_with,"Colitis, Ulcerative; Depressive Disorder; Drug Hypersensitivity; Hypotension; Peptic Ulcer",,
9260,reserpine,False,Discontinued/Withdrawn,may_treat,Dyskinesias; Hypertension; Schizophrenia,,
9624,secobarbital,False,Discontinued/Withdrawn,ci_with,Airway Obstruction; Drug Hypersensitivity; Liver Failure; Porphyrias; Pregnancy,,
9624,secobarbital,False,Discontinued/Withdrawn,may_treat,Sleep Initiation and Maintenance Disorders,,
41996,sertindole,False,Non-US,may_treat,Schizophrenia,,
36514,sibutramine,False,Discontinued/Withdrawn,ci_with,"Anorexia Nervosa; Arrhythmias, Cardiac; Bulimia Nervosa; Drug Hypersensitivity; Heart Failure; Hypertension; Stroke",,
36514,sibutramine,False,Discontinued/Withdrawn,may_treat,Obesity,,
56570,somatrem,False,Discontinued/Withdrawn,ci_with,Brain Neoplasms; Drug Hypersensitivity; Intracranial Hemorrhages,,
