class_id,rxcui,generic_name,rela,condition_name
D003866,2121777,brexanolone,may_treat,Depressive Disorder
D019964,2121777,brexanolone,may_treat,Mood Disorders
D003866,1658314,brexpiprazole,may_treat,Depressive Disorder
D003865,1658314,brexpiprazole,may_treat,Major Depressive Disorder
D019964,1658314,brexpiprazole,may_treat,Mood Disorders
D012559,1658314,brexpiprazole,may_treat,Schizophrenia
D019967,1658314,brexpiprazole,may_treat,Schizophrenia Spectrum and Other Psychotic Disorders
D001008,1749,bromazepam,may_treat,Anxiety Disorders
D020920,1749,bromazepam,may_treat,Dyssomnias
D020919,1749,bromazepam,may_treat,"Sleep Disorders, Intrinsic"
D007319,1749,bromazepam,may_treat,Sleep Initiation and Maintenance Disorders
D012893,1749,bromazepam,may_treat,Sleep Wake Disorders
D013375,1749,bromazepam,may_treat,Substance Withdrawal Syndrome
D019966,1749,bromazepam,may_treat,Substance-Related Disorders
D001008,19759,bromodiphenhydramine,may_treat,Anxiety Disorders
D020920,19759,bromodiphenhydramine,may_treat,Dyssomnias
D020919,19759,bromodiphenhydramine,may_treat,"Sleep Disorders, Intrinsic"
D007319,19759,bromodiphenhydramine,may_treat,Sleep Initiation and Maintenance Disorders
D012893,19759,bromodiphenhydramine,may_treat,Sleep Wake Disorders
D011618,19777,bromperidol,may_treat,Psychotic Disorders
D019967,19777,bromperidol,may_treat,Schizophrenia Spectrum and Other Psychotic Disorders
D006556,1819,buprenorphine,may_treat,Heroin Dependence
D000079524,1819,buprenorphine,may_treat,Narcotic-Related Disorders
D009293,1819,buprenorphine,may_treat,Opioid-Related Disorders
D019966,1819,buprenorphine,may_treat,Substance-Related Disorders
D013375,42347,bupropion,ci_with,Substance Withdrawal Syndrome
D019966,42347,bupropion,ci_with,Substance-Related Disorders
D001289,42347,bupropion,may_treat,Attention Deficit Disorder with Hyperactivity
D019958,42347,bupropion,may_treat,Attention Deficit and Disruptive Behavior Disorders
D003866,42347,bupropion,may_treat,Depressive Disorder
D019964,42347,bupropion,may_treat,Mood Disorders
D065886,42347,bupropion,may_treat,Neurodevelopmental Disorders
D019966,42347,bupropion,may_treat,Substance-Related Disorders
D014029,42347,bupropion,may_treat,Tobacco Use Disorder
D001008,1827,buspirone,may_treat,Anxiety Disorders
D003866,1827,buspirone,may_treat,Depressive Disorder
D008607,1827,buspirone,may_treat,Intellectual Disability
D019964,1827,buspirone,may_treat,Mood Disorders
D065886,1827,buspirone,may_treat,Neurodevelopmental Disorders
D020920,477631,butabarbital,may_treat,Dyssomnias
D020919,477631,butabarbital,may_treat,"Sleep Disorders, Intrinsic"
D007319,477631,butabarbital,may_treat,Sleep Initiation and Maintenance Disorders
D012893,477631,butabarbital,may_treat,Sleep Wake Disorders
D020920,19874,butobarbital,may_treat,Dyssomnias
D020919,19874,butobarbital,may_treat,"Sleep Disorders, Intrinsic"
D007319,19874,butobarbital,may_treat,Sleep Initiation and Maintenance Disorders
D012893,19874,butobarbital,may_treat,Sleep Wake Disorders
D000079524,1841,butorphanol,ci_with,Narcotic-Related Disorders
D009293,1841,butorphanol,ci_with,Opioid-Related Disorders
D019966,1841,butorphanol,ci_with,Substance-Related Disorders
D001714,2002,carbamazepine,may_treat,Bipolar Disorder
D000068105,2002,carbamazepine,may_treat,Bipolar and Related Disorders
D020920,2002,carbamazepine,may_treat,Dyssomnias
D019964,2002,carbamazepine,may_treat,Mood Disorders
D020447,2002,carbamazepine,may_treat,Parasomnias
D011618,2002,carbamazepine,may_treat,Psychotic Disorders
D012148,2002,carbamazepine,may_treat,Restless Legs Syndrome
D012559,2002,carbamazepine,may_treat,Schizophrenia
D019967,2002,carbamazepine,may_treat,Schizophrenia Spectrum and Other Psychotic Disorders
D020919,2002,carbamazepine,may_treat,"Sleep Disorders, Intrinsic"
D012893,2002,carbamazepine,may_treat,Sleep Wake Disorders
D013313,2002,carbamazepine,may_treat,"Stress Disorders, Post-Traumatic"
D040921,2002,carbamazepine,may_treat,"Stress Disorders, Traumatic"
D013375,2002,carbamazepine,may_treat,Substance Withdrawal Syndrome
D019966,2002,carbamazepine,may_treat,Substance-Related Disorders
D000068099,2002,carbamazepine,may_treat,Trauma and Stressor Related Disorders
D001714,1667655,cariprazine,may_treat,Bipolar Disorder
D000068105,1667655,cariprazine,may_treat,Bipolar and Related Disorders
D019964,1667655,cariprazine,may_treat,Mood Disorders
D012559,1667655,cariprazine,may_treat,Schizophrenia
D019967,1667655,cariprazine,may_treat,Schizophrenia Spectrum and Other Psychotic Disorders
D000076064,2296,charcoal,may_treat,Drug Misuse
D062787,2296,charcoal,may_treat,Drug Overdose
D063487,2296,charcoal,may_treat,Prescription Drug Misuse
D019966,2296,charcoal,may_treat,Substance-Related Disorders
D000430,2356,chlordiazepoxide,may_treat,Alcohol Withdrawal Delirium
D019973,2356,chlordiazepoxide,may_treat,Alcohol-Related Disorders
D001008,2356,chlordiazepoxide,may_treat,Anxiety Disorders
D013375,2356,chlordiazepoxide,may_treat,Substance Withdrawal Syndrome
D019966,2356,chlordiazepoxide,may_treat,Substance-Related Disorders
D020920,2372,chlormethiazole,may_treat,Dyssomnias
D020919,2372,chlormethiazole,may_treat,"Sleep Disorders, Intrinsic"
D007319,2372,chlormethiazole,may_treat,Sleep Initiation and Maintenance Disorders
D012893,2372,chlormethiazole,may_treat,Sleep Wake Disorders
D013375,2372,chlormethiazole,may_treat,Substance Withdrawal Syndrome
D019966,2372,chlormethiazole,may_treat,Substance-Related Disorders
D001008,2373,chlormezanone,may_treat,Anxiety Disorders
D003244,2403,chlorpromazine,ci_with,Consciousness Disorders
D001008,2403,chlorpromazine,may_treat,Anxiety Disorders
D019958,2403,chlorpromazine,may_treat,Attention Deficit and Disruptive Behavior Disorders
D002653,2403,chlorpromazine,may_treat,Child Behavior Disorders
D065886,2403,chlorpromazine,may_treat,Neurodevelopmental Disorders
D011618,2403,chlorpromazine,may_treat,Psychotic Disorders
D012559,2403,chlorpromazine,may_treat,Schizophrenia
D019967,2403,chlorpromazine,may_treat,Schizophrenia Spectrum and Other Psychotic Disorders
D003244,2406,chlorprothixene,ci_with,Consciousness Disorders
D011618,2406,chlorprothixene,may_treat,Psychotic Disorders
D012559,2406,chlorprothixene,may_treat,Schizophrenia
D019967,2406,chlorprothixene,may_treat,Schizophrenia Spectrum and Other Psychotic Disorders
D012563,2406,chlorprothixene,may_treat,"Schizophrenia, Paranoid"
D019973,2556,citalopram,may_treat,Alcohol-Related Disorders
D000437,2556,citalopram,may_treat,Alcoholism
D001008,2556,citalopram,may_treat,Anxiety Disorders
D003704,2556,citalopram,may_treat,Dementia
D003866,2556,citalopram,may_treat,Depressive Disorder
D019964,2556,citalopram,may_treat,Mood Disorders
D019965,2556,citalopram,may_treat,Neurocognitive Disorders
D009771,2556,citalopram,may_treat,Obsessive-Compulsive Disorder
D019966,2556,citalopram,may_treat,Substance-Related Disorders
D014029,2556,citalopram,may_treat,Tobacco Use Disorder
D001008,2597,clomipramine,may_treat,Anxiety Disorders
D003866,2597,clomipramine,may_treat,Depressive Disorder
D019964,2597,clomipramine,may_treat,Mood Disorders
D009771,2597,clomipramine,may_treat,Obsessive-Compulsive Disorder
D016584,2597,clomipramine,may_treat,Panic Disorder
D001008,2598,clonazepam,may_treat,Anxiety Disorders
D001714,2598,clonazepam,may_treat,Bipolar Disorder
D000068105,2598,clonazepam,may_treat,Bipolar and Related Disorders
D003147,2598,clonazepam,may_treat,Communication Disorders
D020920,2598,clonazepam,may_treat,Dyssomnias
D019964,2598,clonazepam,may_treat,Mood Disorders
D065886,2598,clonazepam,may_treat,Neurodevelopmental Disorders
D016584,2598,clonazepam,may_treat,Panic Disorder
D020447,2598,clonazepam,may_treat,Parasomnias
D012148,2598,clonazepam,may_treat,Restless Legs Syndrome
D012559,2598,clonazepam,may_treat,Schizophrenia
D019967,2598,clonazepam,may_treat,Schizophrenia Spectrum and Other Psychotic Disorders
D020919,2598,clonazepam,may_treat,"Sleep Disorders, Intrinsic"
D012893,2598,clonazepam,may_treat,Sleep Wake Disorders
D013981,2598,clonazepam,may_treat,Tic Disorders
D019973,2599,clonidine,may_treat,Alcohol-Related Disorders
D001289,2599,clonidine,may_treat,Attention Deficit Disorder with Hyperactivity
D019958,2599,clonidine,may_treat,Attention Deficit and Disruptive Behavior Disorders
D065886,2599,clonidine,may_treat,Neurodevelopmental Disorders
D013375,2599,clonidine,may_treat,Substance Withdrawal Syndrome
D019966,2599,clonidine,may_treat,Substance-Related Disorders
D013981,2599,clonidine,may_treat,Tic Disorders
D005879,2599,clonidine,may_treat,Tourette Syndrome
D001008,2603,clopamide,may_treat,Anxiety Disorders
D000430,2353,clorazepate,may_treat,Alcohol Withdrawal Delirium
D019973,2353,clorazepate,may_treat,Alcohol-Related Disorders
D001008,2353,clorazepate,may_treat,Anxiety Disorders
D013375,2353,clorazepate,may_treat,Substance Withdrawal Syndrome
D019966,2353,clorazepate,may_treat,Substance-Related Disorders
D001008,2622,clotiazepam,may_treat,Anxiety Disorders
D003244,2626,clozapine,ci_with,Consciousness Disorders
D001714,2626,clozapine,may_treat,Bipolar Disorder
D000068105,2626,clozapine,may_treat,Bipolar and Related Disorders
D019964,2626,clozapine,may_treat,Mood Disorders
D011618,2626,clozapine,may_treat,Psychotic Disorders
D012559,2626,clozapine,may_treat,Schizophrenia
D019967,2626,clozapine,may_treat,Schizophrenia Spectrum and Other Psychotic Disorders
D008607,2732215,copper histidinate,may_treat,Intellectual Disability
D019973,3007,cycloserine,ci_with,Alcohol-Related Disorders
D000437,3007,cycloserine,ci_with,Alcoholism
D011618,3007,cycloserine,ci_with,Psychotic Disorders
D019967,3007,cycloserine,ci_with,Schizophrenia Spectrum and Other Psychotic Disorders
D019966,3007,cycloserine,ci_with,Substance-Related Disorders
D012559,3013,cyproheptadine,may_treat,Schizophrenia
D019967,3013,cyproheptadine,may_treat,Schizophrenia Spectrum and Other Psychotic Disorders
D006970,2591497,daridorexant,ci_with,Disorders of Excessive Somnolence
D020920,2591497,daridorexant,ci_with,Dyssomnias
D009290,2591497,daridorexant,ci_with,Narcolepsy
D020919,2591497,daridorexant,ci_with,"Sleep Disorders, Intrinsic"
